ReferenceNumber,Make,PropulsionTypeId,BodyTypeId,GovRegion,KeeperTitleId,EngineSize,YearRegistered,Mass,CO2,CO,NOX,part,hc,Random number
1228,VAUXHALL,1,96,London,2,1796,2002,2000,219,0.486,0.013,,0.037,0.553708684
1929,VOLKSWAGEN,2,14,London,2,1968,2016,1394,119,0.079,0.063,,,0.319243495
1438,VAUXHALL,1,14,South West,5,1398,2016,1163,118,0.463,0.01,,0.031,0.196440786
1857,VAUXHALL,2,14,South West,5,1598,2016,1462,134,0.058,0.054,,,0.289668698
886,BMW,1,2,North West,2,1995,2002,1395,175,0.852,0.05,,0.102,0.378686822
2573,TOYOTA,8,96,London,5,1798,2016,1605,96,0.1,0.006,,0.013,0.047373556
2180,VAUXHALL,2,13,South West,5,1598,2016,1503,115,0.204,0.043,,,0.824025305
412,VAUXHALL,1,14,South West,2,1598,2002,1660,171,0.695,0.019,,0.054,0.859287012
1736,VAUXHALL,1,13,North West,1,1398,2016,1141,120,0.463,0.01,,0.031,0.319365808
3471,BMW,2,2,North West,5,1995,2016,1495,109,0.312,0.042,,,0.595382286
1691,VAUXHALL,1,14,North West,5,1398,2016,1163,118,0.463,0.01,,0.031,0.875677162
2039,FORD,1,14,London,5,998,2016,1177,99,0.355,0.041,0.001,0.067,0.619715381
1156,VOLKSWAGEN,1,14,London,2,1390,2002,1181,156,0.165,0.047,,0.075,0.328400252
3406,FORD,1,13,North West,4,998,2016,1176,99,0.355,0.041,0.001,0.067,0.743164945
3050,FORD,2,14,North West,5,1997,2016,1681,122,0.145,0.059,0.001,,0.753247406
2168,VAUXHALL,1,13,South West,1,1398,2016,1141,120,0.463,0.01,,0.031,0.984601803
420,BMW,1,4,South West,1,2494,2002,1615,230,0.494,0.017,,0.079,0.262896879
586,TOYOTA,1,13,London,2,1598,2002,1280,168,0.55,0.03,,0.06,0.178325752
790,FORD,1,13,South West,2,1299,2002,965,163,0.66,0.037,,0.09,0.409696716
447,FORD,1,14,North West,2,1596,2002,1167,165,0.518,0.059,,0.115,0.295699575
3293,BMW,1,5,North West,1,2979,2016,1615,194,0.139,0.035,,0.035,0.373050371
2730,FORD,1,13,North West,2,1242,2016,989,115,0.362,0.024,,0.043,0.315982861
588,BMW,1,3,London,1,2979,2002,0,230,0.447,,,,0.448855064
737,BMW,2,13,North West,1,1995,2002,1505,185,0.203,0.375,0.036,,0.94413812
2274,VOLKSWAGEN,2,6,South West,5,1968,2016,1503,110,0.137,0.067,,,0.966969841
908,FORD,1,14,London,1,1388,2002,1097,158,0.562,0.026,,0.08,0.568569217
3452,VAUXHALL,1,14,South West,1,999,2016,1263,102,0.328,0.026,0.002,0.028,0.587380866
3446,VOLKSWAGEN,1,14,South West,2,1395,2016,1247,122,0.158,0.034,,0.028,0.036824842
2743,VAUXHALL,2,14,South West,5,1598,2016,1462,134,0.058,0.054,,,0.177303463
2335,BMW,2,14,London,5,1496,2016,1395,106,0.172,0.028,,,0.752796798
3331,VOLKSWAGEN,1,6,London,5,1984,2016,1574,162,0.609,0.047,,0.06,0.603546444
2364,BMW,1,5,South West,5,1998,2016,1565,151,0.221,0.019,,0.054,0.822419223
1493,BMW,1,4,London,2,1998,2016,1790,144,0.151,0.025,,0.04,0.386584635
921,BMW,1,2,London,1,2171,2002,1600,237,0.832,0.005,,0.091,0.001480027
3523,VOLKSWAGEN,1,14,South West,2,1197,2016,1107,107,0.157,0.039,,0.022,0.596716135
3239,FORD,2,14,South West,5,1997,2016,1681,122,0.145,0.059,0.001,,0.858987763
1949,FORD,1,96,London,5,1596,2016,1431,149,0.342,0.051,,0.056,0.369104144
2662,BMW,2,5,London,1,2993,2016,1680,139,0.25,0.058,,,0.623904259
2016,FORD,1,14,North West,1,998,2016,1177,99,0.355,0.041,0.001,0.067,0.730284737
2409,BMW,2,6,London,1,2993,2016,2265,173,0.191,0.049,,,0.160931521
1669,VAUXHALL,1,14,North West,5,1398,2016,1163,118,0.463,0.01,,0.031,0.571306727
2679,VAUXHALL,1,14,London,5,1364,2016,1409,149,0.699,0.008,,0.044,0.626479708
3822,VAUXHALL,2,14,South West,1,1598,2016,1350,103,0.17,0.032,0.001,,0.818002073
2170,VAUXHALL,1,14,South West,1,1398,2016,1163,118,0.463,0.01,,0.031,0.091722698
2549,TOYOTA,8,96,London,5,1798,2016,1605,96,0.1,0.006,,0.013,0.463251757
3636,VAUXHALL,1,14,South West,2,1398,2016,1163,118,0.463,0.01,,0.031,0.146945669
1293,VAUXHALL,1,14,London,1,1199,2002,1430,149,0.253,0.029,,0.054,0.722852808
871,TOYOTA,1,5,London,2,1794,2002,0,185,,,,,0.635490749
1469,VAUXHALL,1,14,South West,5,1398,2016,1163,118,0.463,0.01,,0.031,0.593392466
1021,BMW,1,6,North West,1,4619,2002,2180,356,1.231,0.068,,0.169,0.54702784
693,TOYOTA,1,13,North West,2,1299,2002,1040,144,0.88,0.04,,0.1,0.541831231
2866,FORD,1,14,North West,5,999,2016,1382,125,0.451,0.036,0.001,0.072,0.058702152
1101,FORD,1,13,South West,2,1299,2002,965,154,0.395,0.103,,0.061,0.222508947
2931,BMW,2,6,South West,5,2993,2016,2185,159,0.161,0.057,,,0.945880146
338,FORD,1,6,South West,2,1596,2002,1180,163,0.518,0.059,,0.115,0.458606865
33,FORD,2,14,London,2,1753,2002,1280,145,0.109,0.489,0.044,0.018,0.829806688
3637,FORD,1,14,South West,1,1498,2016,1380,127,0.471,0.018,0.001,0.057,0.180275472
1834,FORD,1,13,North West,1,1596,2016,1211,138,0.3,0.01,0.001,0.052,0.05708713
1655,VAUXHALL,1,14,North West,5,1398,2016,1163,118,0.463,0.01,,0.031,0.686932462
3395,BMW,2,5,South West,5,1995,2016,1825,136,0.144,0.035,,,0.244313948
1381,VAUXHALL,1,14,South West,5,1398,2016,1163,118,0.463,0.01,,0.031,0.157399316
2622,VOLKSWAGEN,1,13,London,1,999,2016,1055,106,0.407,0.016,,0.034,0.865361967
1586,VAUXHALL,2,14,South West,5,1248,2016,1225,85,0.141,0.063,,,0.69949028
3772,VAUXHALL,1,14,South West,5,1399,2016,1278,128,0.632,0.01,0.002,0.039,0.010261542
1878,VAUXHALL,1,14,South West,5,1398,2016,1199,139,0.645,0.008,,0.044,0.804155019
250,BMW,1,5,South West,1,2979,2002,1505,218,0.269,0.009,,0.048,0.536609271
3604,TOYOTA,2,6,South West,5,1995,2016,1650,123,0.274,0.025,,,0.094561809
1613,BMW,2,6,South West,2,1995,2016,1820,139,0.144,0.035,,,0.669839975
861,FORD,1,3,South West,1,1596,2002,0,165,0.518,,,,0.327345323
979,VAUXHALL,1,14,North West,1,1598,2002,1660,171,0.695,0.019,,0.054,0.982532264
3519,FORD,2,14,South West,5,1997,2016,1642,109,0.177,0.042,,,0.388425339
583,TOYOTA,1,5,South West,1,1794,2002,1260,185,1.22,0.03,,0.13,0.644548391
424,VAUXHALL,1,6,South West,1,1598,2002,1730,175,0.695,0.019,,0.054,0.705402759
2332,VAUXHALL,1,13,London,2,1398,2016,1141,120,0.463,0.01,,0.031,0.231888832
3348,VOLKSWAGEN,1,14,London,2,1395,2016,1247,120,0.158,0.034,,0.028,0.602708153
1282,TOYOTA,1,14,South West,2,998,2002,0,137,0.43,,,,0.611835747
483,VAUXHALL,1,14,South West,1,1389,2002,1660,173,0.247,0.023,,0.094,0.225609915
1606,VAUXHALL,1,13,North West,5,1364,2016,1437,142,0.58,0.014,,0.034,0.300622359
2351,BMW,2,6,South West,5,1995,2016,1810,123,0.144,0.031,,,0.299990217
1970,FORD,2,14,North West,2,1499,2016,1183,82,0.358,0.062,,,0.749280689
1313,VAUXHALL,1,14,South West,5,1399,2016,1278,128,0.632,0.01,0.002,0.039,0.301934435
2500,TOYOTA,8,96,London,5,1798,2016,1605,96,0.1,0.006,,0.013,0.12985849
3606,BMW,2,14,North West,2,1496,2016,1395,103,0.172,0.028,,,0.496216244
3500,VOLKSWAGEN,1,14,South West,2,1197,2016,1229,113,0.236,0.024,,0.026,0.125910678
2196,VOLKSWAGEN,1,14,South West,2,1197,2016,1107,107,0.157,0.039,,0.022,0.22719099
3727,FORD,1,96,South West,2,998,2016,1327,119,0.32,0.045,0.001,0.051,0.688928704
170,VAUXHALL,1,14,North West,1,1389,2002,1660,173,0.247,0.023,,0.094,0.67947524
484,BMW,1,6,London,1,2979,2002,2095,310,0.582,0.015,,0.065,0.786497286
3647,VOLKSWAGEN,2,5,South West,1,1968,2016,1375,109,0.212,0.049,,,0.459362747
920,BMW,2,2,North West,2,1995,2002,1490,148,0.101,0.377,0.037,,0.187320841
2474,TOYOTA,8,96,London,5,1798,2016,1605,96,0.1,0.006,,0.013,0.416076269
624,VAUXHALL,1,2,South West,1,3175,2002,2200,284,0.33,0.055,,0.132,0.230740622
1965,FORD,2,14,South West,5,1499,2016,1553,94,0.407,0.07,,,0.93121912
1472,VAUXHALL,1,14,South West,5,1398,2016,1163,118,0.463,0.01,,0.031,0.163194823
3447,BMW,2,6,South West,5,1995,2016,1545,114,0.145,0.026,,,0.996745098
3305,VOLKSWAGEN,2,96,London,5,1968,2016,1843,136,0.052,0.06,,,0.470318175
1077,FORD,2,14,South West,1,1753,2002,1288,145,0.347,0.489,0.044,0.042,0.940911432
53,VOLKSWAGEN,1,13,London,1,1596,2002,1285,185,0.53,0.031,,0.055,0.601520789
2130,VOLKSWAGEN,1,13,North West,2,1984,2016,1382,139,0.341,0.056,,0.053,0.563789847
3126,VAUXHALL,1,14,South West,5,1398,2016,1163,120,0.463,0.01,,0.031,0.019949078
195,TOYOTA,1,13,London,1,998,2002,1040,137,0.43,0.03,,0.12,0.740834481
3526,TOYOTA,1,14,South West,5,998,2016,955,97,0.453,0.013,,0.032,0.20619035
492,FORD,1,14,London,2,1242,2002,1017,161,0.296,0.061,,0.054,0.635798136
448,VAUXHALL,1,14,South West,1,1199,2002,1455,154,0.211,0.031,,0.052,0.453628646
2467,BMW,1,14,South West,1,2979,2016,1525,175,0.613,0.019,,0.048,0.229586779
278,BMW,1,4,South West,2,2171,2002,1355,222,1.02,0.037,,0.127,0.353922447
1325,VAUXHALL,1,14,South West,5,1398,2016,1163,118,0.463,0.01,,0.031,0.991746096
3428,VAUXHALL,2,14,North West,5,1598,2016,1613,129,0.013,0.033,,,0.335686146
3478,VOLKSWAGEN,2,5,South West,5,1968,2016,1395,119,0.143,0.036,,,0.044349991
3808,FORD,1,14,South West,5,1498,2016,1377,149,0.297,0.037,,0.034,0.798501001
2646,VOLKSWAGEN,1,14,London,2,999,2016,1055,106,0.407,0.016,,0.034,0.959320732
37,FORD,1,14,London,2,1388,2002,1105,153,0.644,0.048,,0.064,0.401073512
3662,BMW,8,2,South West,5,1998,2016,1735,49,0.082,0.006,,0.017,0.200194531
1808,VAUXHALL,1,14,North West,2,1399,2016,1278,128,0.632,0.01,0.002,0.039,0.358503039
3661,VAUXHALL,1,6,South West,1,1399,2016,1322,130,0.644,0.017,0.002,0.057,0.097056776
1764,VAUXHALL,1,6,South West,5,1399,2016,1322,130,0.644,0.017,0.002,0.057,0.862936361
3492,BMW,2,6,South West,1,1995,2016,1605,119,0.142,0.032,,,0.649111838
1676,FORD,2,96,South West,5,1997,2016,1828,129,0.239,0.048,,,0.900064444
374,VOLKSWAGEN,1,2,London,1,1781,2002,1493,197,0.35,0.037,,0.032,0.199432768
2760,TOYOTA,8,6,North West,1,1798,2016,1490,83,0.182,0.005,,0.036,0.987796904
805,BMW,1,5,North West,1,2171,2002,1500,226,0.498,0.014,,0.105,0.19459123
11,TOYOTA,1,14,South West,2,1299,2002,1050,144,,0.04,,0.1,0.050973575
1778,VAUXHALL,1,96,London,1,1398,2016,1361,140,0.695,0.028,,0.05,0.180271113
3530,BMW,8,14,South West,1,647,2016,1390,13,0.053,0.002,,0.003,0.523428223
380,VOLKSWAGEN,2,6,North West,1,1896,2002,1565,154,0.151,0.382,0.023,,0.037493781
44,FORD,1,14,South West,1,1388,2002,1105,158,0.644,0.048,,0.064,0.43061809
3184,BMW,1,2,North West,1,1998,2016,1605,137,0.151,0.025,,0.04,0.123118301
605,FORD,1,14,London,1,1596,2002,1189,192,0.518,0.059,,0.115,0.51030245
806,VOLKSWAGEN,1,14,London,2,1200,2002,1120,142,0.474,0.015,,0.032,0.161418098
2902,FORD,1,14,North West,2,1242,2016,1095,122,0.518,0.027,,0.051,0.254604064
1761,FORD,2,14,South West,5,1499,2016,1399,98,0.354,0.074,,,0.12811383
899,VOLKSWAGEN,2,6,South West,1,1896,2002,1597,159,0.181,0.313,0.04,,0.174796946
749,VOLKSWAGEN,1,13,South West,1,1198,2002,1092,142,0.474,0.015,,0.032,0.676211319
522,BMW,1,5,London,1,2494,2002,1520,229,0.255,0.013,,0.086,0.365198195
3612,VOLKSWAGEN,1,14,South West,5,1197,2016,1107,107,0.157,0.039,,0.022,0.847627276
1477,BMW,8,6,South West,5,1997,2016,2305,77,0.185,0.015,,0.014,0.395182962
1728,VAUXHALL,1,14,North West,1,1399,2016,1278,128,0.632,0.01,0.002,0.039,0.694710586
1743,VOLKSWAGEN,1,14,South West,5,1984,2016,1486,165,0.522,0.05,,0.053,0.014171138
14,FORD,1,14,London,2,1596,2002,1167,165,0.518,0.059,,0.115,0.196400242
2485,BMW,2,6,South West,5,1995,2016,1810,118,0.144,0.031,,,0.174264859
2275,VOLKSWAGEN,1,96,London,2,1395,2016,1362,125,0.158,0.034,,0.028,0.623476855
274,BMW,1,5,London,5,2979,2002,1540,230,0.447,0.013,,0.062,0.668655268
681,FORD,1,14,North West,2,1596,2002,1189,192,0.518,0.059,,0.115,0.171114068
1760,FORD,1,14,North West,1,999,2016,1333,108,0.447,0.03,0.002,0.076,0.986899405
501,FORD,1,14,North West,2,1242,2002,1017,161,0.296,0.061,,0.054,0.761196409
2772,BMW,2,2,North West,1,1995,2016,1705,109,0.144,0.031,,,0.555836249
1240,FORD,2,6,North West,1,1753,2002,1295,143,0.109,0.489,0.044,0.018,0.389934026
1672,VAUXHALL,1,14,North West,5,1398,2016,1163,118,0.463,0.01,,0.031,0.629107172
1597,BMW,2,2,North West,1,1995,2016,1705,109,0.144,0.031,,,0.228675082
1002,FORD,1,14,London,2,1388,2002,1163,158,0.662,0.052,,0.137,0.636100275
3364,VOLKSWAGEN,2,6,South West,5,1968,2016,1503,110,0.137,0.067,,,0.342187945
1890,VOLKSWAGEN,1,13,London,1,1984,2016,1495,159,0.609,0.047,,0.06,0.281502574
3747,VAUXHALL,1,13,South West,2,1398,2016,1141,118,0.463,0.01,,0.031,0.822965401
2283,BMW,2,6,South West,1,2993,2016,1945,157,0.206,0.052,,,0.078675329
2653,VAUXHALL,1,14,London,5,1399,2016,1308,127,0.484,0.006,0.002,0.037,0.561597842
783,BMW,1,2,North West,1,2494,2002,1485,217,0.494,0.017,,0.079,0.521597979
2818,FORD,1,14,North West,1,998,2016,1335,125,0.428,0.037,0.001,0.053,0.043224
3098,FORD,1,13,South West,5,998,2016,1170,99,0.355,0.041,0.001,0.067,0.677728961
1108,BMW,1,4,London,4,2979,2002,1660,229,0.269,0.009,,0.048,0.725301156
755,FORD,1,14,South West,5,1388,2002,1163,158,0.662,0.052,,0.137,0.429500057
3113,BMW,1,2,South West,1,2979,2016,1635,194,0.139,0.035,,0.035,0.520024534
1432,VAUXHALL,1,14,South West,5,1398,2016,1163,118,0.463,0.01,,0.031,0.864389954
3377,VAUXHALL,2,14,North West,1,1598,2016,1613,129,0.013,0.033,,,0.024712584
1542,VAUXHALL,1,14,South West,1,999,2016,1263,102,0.328,0.026,0.002,0.028,0.989215521
3520,VAUXHALL,2,96,South West,5,1598,2016,1701,109,0.295,0.053,,,0.021096246
2929,FORD,2,14,South West,5,1997,2016,1642,112,0.177,0.042,,,0.080161631
2294,VOLKSWAGEN,2,96,London,1,1968,2016,1845,138,0.062,0.064,,,0.709238308
155,TOYOTA,2,6,North West,1,1995,2002,1505,161,0.33,0.49,0.044,,0.410569721
3067,BMW,8,5,London,1,1499,2016,1560,49,0.176,0.011,,0.007,0.841738201
481,FORD,2,14,South West,2,1399,2002,1166,121,0.154,0.423,0.036,,0.456821452
974,VAUXHALL,1,13,North West,2,973,2002,1430,135,0.342,0.048,,0.06,0.975915914
3297,VOLKSWAGEN,1,13,South West,2,999,2016,929,105,0.457,0.013,,0.039,0.434380186
2399,FORD,1,96,London,1,998,2016,1327,119,0.32,0.045,0.001,0.051,0.345394156
554,TOYOTA,1,14,London,1,1299,2002,1000,160,0.7,0.05,,0.12,0.057686985
197,FORD,1,2,North West,1,1988,2002,1261,222,0.698,0.058,,0.056,0.480329721
3183,FORD,2,14,North West,1,1997,2016,1681,122,0.145,0.059,0.001,,0.141839385
2861,FORD,1,14,North West,1,1242,2016,1095,122,0.518,0.027,,0.051,0.375922868
3042,BMW,2,6,North West,5,1995,2016,1505,109,0.222,0.037,,,0.875019419
1190,BMW,2,3,South West,1,2926,2002,0,178,0.327,,,,0.603354359
797,BMW,1,2,London,2,2979,2002,1540,230,0.447,0.013,,0.062,0.322783922
993,VOLKSWAGEN,1,13,South West,2,1198,2002,1103,142,0.68,0.042,,0.03,0.076485701
1238,VOLKSWAGEN,2,13,South West,1,1896,2002,1352,140,0.081,0.376,0.029,,0.288681901
766,VOLKSWAGEN,1,14,London,2,1198,2002,1132,142,0.474,0.015,,0.032,0.724844635
2202,VAUXHALL,1,14,South West,2,1598,2016,1355,159,0.809,0.012,,0.051,0.845082962
2471,TOYOTA,8,96,London,5,1798,2016,1605,96,0.1,0.006,,0.013,0.580560841
2994,FORD,1,14,North West,1,999,2016,1329,105,0.436,0.03,0.001,0.065,0.656732661
2292,FORD,2,14,North West,5,1997,2016,1642,107,0.183,0.046,,,0.955967791
3632,VOLKSWAGEN,1,14,South West,1,1197,2016,1107,107,0.157,0.039,,0.022,0.475260724
1199,VOLKSWAGEN,1,14,South West,2,1598,2002,0,166,0.259,0.043,1.276,0.056,0.914787519
1796,VAUXHALL,1,14,South West,5,1398,2016,1163,118,0.463,0.01,,0.031,0.465422517
1040,TOYOTA,1,13,London,1,998,2002,1040,137,0.43,0.03,,0.12,0.687684452
2910,FORD,1,14,North West,1,1242,2016,1095,122,0.518,0.027,,0.051,0.352129624
547,VOLKSWAGEN,1,13,North West,1,1781,2002,1324,190,0.667,0.03,,0.054,0.5803309
3191,BMW,1,14,North West,1,2979,2016,1525,175,0.613,0.019,,0.048,0.216794933
2426,FORD,2,14,South West,5,1499,2016,1183,82,0.358,0.062,,,0.087648464
3205,FORD,2,96,North West,5,1499,2016,1619,129,0.259,0.065,,,0.056286975
382,VOLKSWAGEN,2,14,South West,1,1896,2002,1414,146,0.177,0.363,0.024,,0.725331554
199,TOYOTA,1,14,North West,1,1398,2002,1285,159,0.47,0.02,,0.07,0.312176317
84,VOLKSWAGEN,1,14,London,1,1198,2002,1132,142,0.474,0.015,,0.032,0.990565226
2306,VOLKSWAGEN,2,2,South West,5,1968,2016,1475,106,0.137,0.067,,,0.0266393
649,FORD,1,14,North West,2,1388,2002,1163,158,0.662,0.052,,0.137,0.63675052
2405,FORD,1,14,London,5,1498,2016,1377,149,0.297,0.037,,0.034,0.051320677
1436,VAUXHALL,1,14,South West,5,1398,2016,1163,118,0.463,0.01,,0.031,0.041682794
1687,VAUXHALL,1,13,North West,1,1398,2016,1141,120,0.463,0.01,,0.031,0.466354247
2334,BMW,2,6,London,1,1995,2016,1605,115,0.142,0.032,,,0.398554619
2754,VOLKSWAGEN,1,14,South West,5,1984,2016,1505,159,0.609,0.047,,0.06,0.6316359
3058,FORD,1,96,South West,5,999,2016,1449,117,0.473,0.035,0.003,0.056,0.264316117
1501,VAUXHALL,1,14,North West,1,1598,2016,1355,159,0.809,0.012,,0.051,0.262879695
680,VOLKSWAGEN,1,13,North West,2,1390,2002,1170,156,0.165,0.047,,0.075,0.654712366
745,FORD,1,14,London,4,1388,2002,1105,153,0.644,0.048,,0.064,0.406924404
2194,VAUXHALL,1,13,South West,2,1364,2016,1199,132,0.644,0.014,,0.025,0.462464301
1352,VOLKSWAGEN,2,96,South West,5,1968,2016,1868,159,0.178,0.051,,,0.845201855
3005,FORD,1,14,North West,1,999,2016,1329,105,0.436,0.03,0.001,0.065,0.692986549
2501,TOYOTA,8,96,London,5,1798,2016,1605,96,0.1,0.006,,0.013,0.491537914
1642,VAUXHALL,1,14,North West,5,1398,2016,1163,118,0.463,0.01,,0.031,0.94952373
3741,FORD,1,14,South West,1,999,2016,1329,105,0.436,0.03,0.001,0.065,0.196927715
2999,VAUXHALL,2,6,North West,5,1598,2016,1393,96,0.243,0.029,,,0.168344857
660,FORD,1,14,North West,1,1388,2002,1097,153,0.562,0.026,,0.08,0.929483157
10,VOLKSWAGEN,2,14,North West,4,1896,2002,0,146,0.081,,,,0.26589698
1936,TOYOTA,8,14,London,4,1798,2016,1470,70,0.131,0.016,,0.033,0.914863736
2458,FORD,1,14,London,5,999,2016,1382,125,0.451,0.036,0.001,0.072,0.263696761
2076,TOYOTA,1,14,North West,2,998,2016,955,95,0.59,0.008,,0.033,0.437562165
2935,VAUXHALL,1,14,North West,5,1399,2016,1278,128,0.632,0.01,0.002,0.039,0.65247491
3383,VOLKSWAGEN,1,14,South West,2,999,2016,1055,108,0.535,0.012,,0.039,0.736384272
1081,VOLKSWAGEN,1,13,South West,2,999,2002,983,139,0.209,0.025,,0.071,0.777109575
2104,FORD,2,6,South West,5,1499,2016,1575,99,0.407,0.07,,,0.348299111
2441,VAUXHALL,1,13,London,2,1229,2016,1086,125,0.474,0.013,,0.038,0.331814122
2055,FORD,1,14,London,5,998,2016,1177,99,0.355,0.041,0.001,0.067,0.75625939
3807,FORD,2,14,South West,5,1997,2016,1642,109,0.177,0.042,,,0.031811733
762,VOLKSWAGEN,2,14,South West,1,1896,2002,1397,146,0.081,0.376,0.029,,0.295454091
2597,FORD,1,14,London,2,1242,2016,1095,122,0.518,0.027,,0.051,0.771626106
124,FORD,1,14,South West,1,1596,2002,1167,165,0.518,0.059,,0.115,0.835772876
2783,BMW,1,14,North West,1,1499,2016,1395,119,0.215,0.01,,0.037,0.824100078
2393,VAUXHALL,2,14,London,5,1598,2016,1613,109,0.035,0.026,,,0.016992732
2127,BMW,2,4,South West,2,1995,2016,1790,124,0.128,0.023,,,0.810758705
1188,VAUXHALL,1,13,North West,1,1199,2002,1455,149,0.253,0.029,,0.054,0.704496348
3453,BMW,1,2,London,4,1998,2016,1505,138,0.213,0.022,,0.053,0.148965255
3779,BMW,2,6,South West,1,1995,2016,1625,129,0.103,0.018,,,0.333582813
1254,TOYOTA,1,14,London,1,1299,2002,0,160,0.7,0.05,,0.12,0.430290335
2606,FORD,2,96,London,2,1997,2016,1849,149,0.179,0.039,,,0.471346925
259,VAUXHALL,1,96,North West,4,1598,2002,1970,190,0.219,0.026,,0.037,0.485967382
888,BMW,1,4,South West,1,2979,2002,0,244,0.447,,,,0.424900384
2157,VAUXHALL,1,14,London,5,1364,2016,1409,149,0.699,0.008,,0.044,0.409133943
2740,VAUXHALL,1,13,North West,5,1364,2016,1471,154,0.362,0.015,,0.027,0.714397738
2269,VAUXHALL,2,14,South West,5,1598,2016,1350,97,0.243,0.029,,,0.921609706
2141,BMW,1,13,South West,5,1499,2016,1375,126,0.164,0.016,,0.041,0.845556937
3595,FORD,2,96,North West,5,1499,2016,1596,119,0.353,0.076,0.001,,0.774350507
1259,FORD,1,14,South West,1,1798,2002,1396,187,0.375,0.091,,0.077,0.644303438
515,VOLKSWAGEN,1,2,South West,1,2771,2002,1729,264,0.295,0.012,,0.058,0.374510557
3351,VOLKSWAGEN,2,2,South West,5,1968,2016,1549,119,0.081,0.058,,,0.703552101
2735,TOYOTA,8,14,South West,5,1798,2016,1470,70,0.131,0.016,,0.033,0.859744723
774,VOLKSWAGEN,2,14,North West,1,1896,2002,0,138,0.025,0.33,1.379,,0.069688843
499,TOYOTA,1,6,London,2,1299,2002,0,144,0.88,0.04,,0.1,0.598153672
1886,VAUXHALL,1,14,South West,5,1399,2016,1278,128,0.632,0.01,0.002,0.039,0.058012212
3362,FORD,2,96,South West,5,1997,2016,1643,119,0.278,0.051,,,0.016960642
3345,VOLKSWAGEN,2,14,South West,5,1968,2016,1373,112,0.1,0.07,,,0.648476946
2401,FORD,1,14,London,2,998,2016,1177,99,0.355,0.041,0.001,0.067,0.065222729
3360,FORD,2,14,South West,5,1997,2016,1642,107,0.183,0.046,,,0.159049733
3686,FORD,1,14,South West,2,998,2016,1177,99,0.355,0.041,0.001,0.067,0.940061012
3334,VAUXHALL,1,13,South West,5,1598,2016,1278,174,0.519,0.026,,0.034,0.260067543
71,FORD,1,14,South West,2,1596,2002,1167,165,0.518,0.059,,0.115,0.617156219
615,BMW,1,5,South West,1,2494,2002,0,217,0.494,,,,0.971491094
161,VAUXHALL,1,96,North West,1,1998,2002,2065,243,0.39,0.047,,0.073,0.336735099
990,VOLKSWAGEN,1,14,South West,5,1198,2002,1153,142,0.68,0.042,,0.03,0.054109779
244,FORD,1,14,London,4,1242,2002,1017,161,0.296,0.061,,0.054,0.16566163
1399,VAUXHALL,1,14,South West,5,1398,2016,1163,118,0.463,0.01,,0.031,0.072805143
915,BMW,2,6,London,1,2926,2002,0,186,0.323,,,,0.183895608
2027,FORD,2,14,South West,5,1499,2016,1183,82,0.358,0.062,,,0.129960041
